dataset,algo,k,silhouette,calinski_harabasz,davies_bouldin,inertia,seconds_mean,seconds_std,repeats,silhouette_norm,calinski_harabasz_norm,davies_bouldin_norm,composite
no_outliers,kmeans,2,0.16044289525018585,191.05421577834284,2.1916117295233644,967.2554799600755,0.12118219984695315,0.008667241722080268,5,0.48128906707414143,1.0,0.0,0.49376302235804714
no_outliers,kmeans,3,0.18715714147176768,188.72466113858985,1.9087705851164218,831.7000433494073,0.1413141599856317,0.009156897628513764,5,0.738658515482773,0.9766120959001776,0.42858038651263675,0.7146169992985291
no_outliers,kmeans,4,0.18587067893870013,183.155767374685,1.7129218993569575,736.259415432292,0.1450954000465572,0.010112484861233909,5,0.7262645235360161,0.9207023734709516,0.7253438069010705,0.7907702346360127
no_outliers,kmeans,5,0.1701831735496346,172.0360546103649,1.6677367299981445,673.7486396961939,0.15354011990129948,0.012622668917994562,5,0.5751285126075312,0.8090643928408578,0.7938114882528917,0.7260014645670937
no_outliers,kmeans,6,0.18864383240237803,158.12083090190723,1.682217723105458,633.8318450462714,0.16455902010202408,0.012874839566704408,5,0.7529815407926237,0.6693604717276396,0.7718688899225374,0.7314036341476001
no_outliers,kmeans,7,0.19761296514362953,147.27652895468242,1.7324183031021028,601.3786143602439,0.18297544000670313,0.010401641526328385,5,0.8393916429969976,0.5604875182269208,0.6958015128680681,0.6985602246973288
no_outliers,kmeans,8,0.1850719691643248,140.29066314122136,1.7327359726175058,570.4520404065354,0.1874470598064363,0.012917346135699835,5,0.7185696220080258,0.49035189791935024,0.6953201581345473,0.6347472260206412
no_outliers,kmeans,9,0.18991593890457378,134.45208849857784,1.7367589699389265,543.7798006838649,0.20155807994306088,0.01465377277608582,5,0.7652372243732689,0.4317346749138918,0.6892242354548076,0.6287320449139894
no_outliers,kmeans,10,0.1942619420671606,130.83654167437697,1.7643704170796508,517.4046545294464,0.20698504010215402,0.007919224790276748,5,0.8071073347053922,0.3954358644246073,0.6473854686355118,0.6166428892551704
no_outliers,agglo-ward,2,0.1995566727720827,176.9316052818213,1.8447695681373741,,0.017826620023697615,0.00013972169509968347,5,0.8581176424526177,0.8582139889336045,0.5255591363744931,0.747296922586905
no_outliers,agglo-ward,3,0.17856149149149877,183.96560861294648,2.0074860753412995,,0.013894079998135567,0.0022910829984270644,5,0.6558466077169368,0.9288328928815411,0.2789998753600874,0.6212264586528552
no_outliers,agglo-ward,4,0.186698988492413,182.8067370790153,1.7019926414397388,,0.014994299970567226,0.0015236772580202798,5,0.7342445942137528,0.9171982328323267,0.7419045713976198,0.7977824661478997
no_outliers,agglo-ward,5,0.1699712065870682,170.7972770168203,1.6797753613455426,,0.0152476797811687,0.002452606472880002,5,0.5730863879754503,0.796627504233728,0.7755697247118432,0.7150945389736738
no_outliers,agglo-ward,6,0.18849207702669707,157.03484670510875,1.6870962174343884,,0.015075720008462667,0.0025427360751789844,5,0.7515195045065128,0.658457574746722,0.7644766592430983,0.724817912832111
no_outliers,agglo-ward,7,0.19497988498425106,145.16208186872342,1.7593306040617704,,0.017945520114153624,0.0005105361171144664,5,0.814024115026567,0.5392592178356488,0.6550221405054534,0.669435157789223
no_outliers,agglo-ward,8,0.1916384640928859,136.86597295693173,1.7968466662498281,,0.015957759972661734,0.0015986005540963685,5,0.7818323157679014,0.4559692205461929,0.598175218652187,0.611992251655427
no_outliers,agglo-ward,9,0.1982936127479537,131.161880161876,1.7938749420514912,,0.015146960038691759,0.001860681491799417,5,0.845949114131783,0.3987021476942779,0.6026781798751828,0.6157764805670812
no_outliers,agglo-ward,10,0.18702162983522996,126.67852829686466,1.7758579184284724,,0.01530934013426304,0.0018466221793111191,5,0.7373529740552,0.3536908817315428,0.6299788152348351,0.5736742236738593
no_outliers,agglo-average,2,0.1995566727720827,176.9316052818213,1.8447695681373741,,0.014269660040736199,0.001453171010520711,5,0.8581176424526177,0.8582139889336045,0.5255591363744931,0.747296922586905
no_outliers,agglo-average,3,0.21428367419923486,181.31228454214957,1.760783635178458,,0.01538430005311966,0.0013721660851936,5,1.0,0.9021944582835322,0.6528204076602883,0.8516716219812736
no_outliers,agglo-average,4,0.21225826273407664,142.62604411051254,1.726508570247868,,0.015493780095130204,0.002592696945318639,5,0.9804868523234932,0.5137982963056632,0.7047563472015421,0.7330138319435662
no_outliers,agglo-average,5,0.13971986108923876,107.49499545894739,1.5316628534013748,,0.015016199927777052,0.0018543720547943155,5,0.2816399425164967,0.16109500153507061,1.0,0.4809116480171891
no_outliers,agglo-average,6,0.16260272605557405,127.2826677503939,1.5340625628524205,,0.015414599888026714,0.0015890148685904644,5,0.502097232815672,0.3597562280260428,0.9963637949273481,0.6194057519230209
no_outliers,agglo-average,7,0.16783718699398076,118.7868314193274,1.610280508207145,,0.01383556006476283,0.0016875145863124786,5,0.5525268917047893,0.27446103813522355,0.8808731135845772,0.5692870144748633
no_outliers,agglo-average,8,0.14634034937126345,103.86632778871302,1.605003358009784,,0.020668619871139528,0.004721469479750977,5,0.34542281713730305,0.12466446239538083,0.8888694150986743,0.45298556487711944
