algo,k,silhouette,calinski_harabasz,davies_bouldin,inertia,seconds_mean,seconds_std,repeats,dataset,k_or_q,eps,min_samples,clusters,noise,noise_pct,silhouette_norm,calinski_harabasz_norm,davies_bouldin_norm,composite
kmeans,2.0,0.16089666836767821,204.07038466900366,2.176396425733313,1062.2290168759507,0.1302886199206114,0.014844122625453163,5,full,,,,,,,0.4856607920325393,1.0,0.23283816900117482,0.5728329870112381
kmeans,3.0,0.1768813115316422,196.7714263784018,1.9980295022650416,918.1657658077806,0.14337009992450475,0.009152288556509876,5,full,,,,,,,0.6396594772282548,0.9419136794852891,0.43447738418636495,0.6720168469666362
kmeans,4.0,0.17479942674194268,188.40843224984283,1.7298664511004873,817.4839307220237,0.15073382006958128,0.012978532679790055,5,full,,,,,,,0.6196022562409595,0.8753595853154943,0.737628810062168,0.744196883872874
kmeans,5.0,0.15815171867523,174.15037531830575,1.6892346896296087,754.02307963013,0.16737473998218774,0.011829517495223915,5,full,,,,,,,0.45921549455361965,0.7618916037394596,0.7835619703996968,0.6682230228975921
kmeans,6.0,0.1810251821825658,165.27574615671818,1.7193118559900065,700.2165530246211,0.17377650011330842,0.00934902253696481,5,full,,,,,,,0.6795822096482068,0.6912658331287512,0.7495605081219452,0.7068028502996344
kmeans,7.0,0.19174682325494508,154.1290871311526,1.7656163639830122,664.1397171464843,0.1983329800888896,0.016015062447581253,5,full,,,,,,,0.7828762657838543,0.6025588720736542,0.6972144538777181,0.6942165305784088
kmeans,8.0,0.18007303356398885,145.9333678992015,1.7714045576432729,632.0476972658323,0.19890854004770517,0.018527996273911652,5,full,,,,,,,0.6704090530210804,0.537335979271449,0.6906710499533775,0.6328053607486357
kmeans,9.0,0.18526348203354934,139.71896007231146,1.7717693795715466,603.0126005240014,0.2092300199903548,0.01488385630500451,5,full,,,,,,,0.7204146885356993,0.48788069120566435,0.6902586281552713,0.6328513359655451
kmeans,10.0,0.18663550826507475,134.61927743292682,1.783218126053134,577.1024280111546,0.20918311988934873,0.012626780691910977,5,full,,,,,,,0.7336330152472572,0.4472965710448439,0.6773161149890781,0.619415233760393
agglo-ward,2.0,0.19990657287796376,191.76700285751883,1.8866194377868053,,0.01931903986260295,0.002159304582840594,5,full,,,,,,,0.8614886377074259,0.9020876471870013,0.5604235939897712,0.7746666262947328
agglo-ward,3.0,0.20963225194453,193.64700630902544,1.7776362090982651,,0.01723867990076542,0.001811943090163449,5,full,,,,,,,0.955187431826473,0.9170490264284178,0.6836263284082654,0.8519542622210521
agglo-ward,4.0,0.1762937510467116,188.0739907015411,1.7283760058526274,,0.014786219969391824,0.0013799163184353542,5,full,,,,,,,0.633998822734806,0.8726980440112915,0.7393137200455396,0.7486701955972124
agglo-ward,5.0,0.15857008435147604,172.44066075746113,1.7018129977003595,,0.016013400070369242,0.00248793287788932,5,full,,,,,,,0.46324609839081715,0.7482854117301476,0.769342516935866,0.6602913423522768
agglo-ward,6.0,0.18125288057923725,163.73495475926492,1.7267856746352652,,0.01494319997727871,0.0013511602226956956,5,full,,,,,,,0.6817758935077018,0.6790039596674358,0.7411115485460154,0.7006304672403844
agglo-ward,7.0,0.17318711785675955,149.46752110688388,1.7646753294547872,,0.01687583988532424,0.0027107807787939515,5,full,,,,,,,0.6040690068652508,0.5654613565919167,0.6982782691863183,0.6226028775478286
agglo-ward,8.0,0.17762833789143073,140.1812900370815,1.7727505360912246,,0.017476039845496415,0.002083611098669312,5,full,,,,,,,0.6468564522269414,0.4915599897367666,0.6891494559682155,0.6091886326439746
agglo-ward,9.0,0.18802559043647643,133.69318550736912,1.8671631584189454,,0.01861091973260045,0.0031984613892084607,5,full,,,,,,,0.7470252958577165,0.4399265779208532,0.5824184169416675,0.5897900969067457
