algo,k,silhouette,calinski_harabasz,davies_bouldin,inertia,seconds_mean,seconds_std,repeats,dataset,k_or_q,eps,min_samples,clusters,noise,noise_pct,silhouette_norm,calinski_harabasz_norm,davies_bouldin_norm,composite
kmeans,2.0,0.1608966683676396,204.0703846690036,2.176396425733313,1062.2290168759503,0.13692427999339998,0.006989482779079141,5,full,,,,,,,0.4856607920333568,1.0,0.23283816900117438,0.5728329870115104
kmeans,3.0,0.17688131153159226,196.77142637840188,1.9980295022650407,918.1657658077804,0.14164445996284486,0.007908584089542585,5,full,,,,,,,0.639659477228824,0.9419136794852903,0.4344773841863657,0.6720168469668266
kmeans,4.0,0.1747994267418807,188.40843224984292,1.7298664511004873,817.4839307220233,0.14731784001924098,0.007704602286260282,5,full,,,,,,,0.619602256241431,0.8753595853154953,0.737628810062168,0.7441968838730314
kmeans,5.0,0.1581517186751037,174.15037531830578,1.6892346896296089,754.0230796301299,0.1774093199055642,0.013728090051379697,5,full,,,,,,,0.45921549455361604,0.7618916037394601,0.7835619703996963,0.6682230228975907
kmeans,6.0,0.1810251821824388,165.27574615671824,1.7193118559900065,700.2165530246208,0.17320072003640236,0.011895028808384486,5,full,,,,,,,0.6795822096479974,0.6912658331287519,0.7495605081219452,0.7068028502995648
kmeans,7.0,0.19174682325481554,154.1290871311526,1.765616363983012,664.1397171464837,0.18578980001620948,0.00882798352655186,5,full,,,,,,,0.7828762657835272,0.6025588720736543,0.6972144538777182,0.6942165305782999
kmeans,8.0,0.1800730335638361,145.9333678992015,1.7714045576432729,632.047697265832,0.19263278008438647,0.013250937456811364,5,full,,,,,,,0.6704090530206314,0.537335979271449,0.6906710499533772,0.6328053607484859
kmeans,9.0,0.18526348203339665,139.71896007231143,1.7717693795715468,603.0126005240013,0.20853278003633022,0.010695525859628068,5,full,,,,,,,0.7204146885352057,0.48788069120566413,0.690258628155271,0.6328513359653803
kmeans,10.0,0.18663550826491662,134.61927743292685,1.7832181260531335,577.1024280111546,0.22103728000074624,0.011034145178391484,5,full,,,,,,,0.7336330152466992,0.44729657104484405,0.6773161149890784,0.6194152337602072
agglo-ward,2.0,0.19990657287794025,191.76700285751903,1.8866194377868049,,0.01956743993796408,0.0016099668530884974,5,full,,,,,,,0.8614886377080493,0.9020876471870032,0.5604235939897715,0.7746666262949414
