algo,k,silhouette,calinski_harabasz,davies_bouldin,inertia,seconds_mean,seconds_std,repeats,dataset,k_or_q,eps,min_samples,clusters,noise,noise_pct,silhouette_norm,calinski_harabasz_norm,davies_bouldin_norm,composite
kmeans,2.0,0.1608966683676396,204.0703846690036,2.176396425733313,1062.2290168759503,0.16881144000217319,0.019682447467648193,5,full,,,,,,,0.4856607920333568,1.0,0.2328381690011745,0.5728329870115104
kmeans,3.0,0.17688131153159226,196.77142637840188,1.9980295022650407,918.1657658077804,0.17438025996088982,0.01292665657987323,5,full,,,,,,,0.639659477228824,0.9419136794852903,0.43447738418636583,0.6720168469668266
kmeans,4.0,0.1747994267418807,188.40843224984292,1.7298664511004873,817.4839307220233,0.18156537995673716,0.01552800808305911,5,full,,,,,,,0.619602256241431,0.8753595853154953,0.7376288100621681,0.7441968838730314
kmeans,5.0,0.1581517186751037,174.15037531830578,1.6892346896296089,754.0230796301298,0.19097493994049727,0.014482564711972712,5,full,,,,,,,0.45921549455361604,0.7618916037394601,0.7835619703996966,0.6682230228975908
kmeans,6.0,0.1810251821824388,165.27574615671824,1.7193118559900065,700.2165530246208,0.1958940400276333,0.007035784382281355,5,full,,,,,,,0.6795822096479974,0.6912658331287519,0.7495605081219453,0.7068028502995648
kmeans,7.0,0.19174682325481554,154.1290871311526,1.765616363983012,664.1397171464838,0.21074943994171919,0.0025509619209741928,5,full,,,,,,,0.7828762657835272,0.6025588720736543,0.6972144538777183,0.6942165305782999
kmeans,8.0,0.1800730335638361,145.9333678992015,1.7714045576432729,632.047697265832,0.21438444000668824,0.007374596778299194,5,full,,,,,,,0.6704090530206314,0.537335979271449,0.6906710499533775,0.6328053607484859
kmeans,9.0,0.18526348203339665,139.71896007231143,1.7717693795715466,603.0126005240012,0.22420051996596158,0.010138286966839272,5,full,,,,,,,0.7204146885352057,0.48788069120566413,0.6902586281552713,0.6328513359653805
kmeans,10.0,0.18663550826491662,134.61927743292685,1.7832181260531335,577.1024280111546,0.2380136199761182,0.023986589798112315,5,full,,,,,,,0.7336330152466992,0.44729657104484405,0.6773161149890786,0.6194152337602072
agglo-ward,2.0,0.19990657287794025,191.76700285751903,1.8866194377868049,,0.01874781996011734,0.001972152345816529,5,full,,,,,,,0.8614886377080493,0.9020876471870032,0.5604235939897715,0.7746666262949414
agglo-ward,3.0,0.20963225194449708,193.64700630902558,1.7776362090982645,,0.014238319965079427,0.001464790080639744,5,full,,,,,,,0.955187431826921,0.9170490264284193,0.6836263284082662,0.8519542622212022
agglo-ward,4.0,0.17629375104665057,188.07399070154128,1.7283760058526274,,0.013244480080902576,0.0010393898107240343,5,full,,,,,,,0.6339988227352734,0.8726980440112933,0.7393137200455397,0.7486701955973688
agglo-ward,5.0,0.15857008435134315,172.44066075746122,1.7018129977003593,,0.013625479955226182,0.00041908452850509376,5,full,,,,,,,0.46324609839074654,0.7482854117301485,0.7693425169358663,0.6602913423522537
agglo-ward,6.0,0.1812528805791044,163.734954759265,1.7267856746352652,,0.014219659985974431,0.0011169635745040963,5,full,,,,,,,0.6817758935074343,0.6790039596674367,0.7411115485460154,0.7006304672402953
agglo-ward,7.0,0.17318711785661992,149.467521106884,1.764675329454787,,0.01831621997989714,0.0055323147104693075,5,full,,,,,,,0.604069006864988,0.5654613565919175,0.6982782691863185,0.6226028775477414
agglo-ward,8.0,0.1776283378912911,140.18129003708154,1.7727505360912246,,0.013983139907941223,0.001241989642933894,5,full,,,,,,,0.64685645222664,0.49155998973676684,0.6891494559682156,0.6091886326438741
agglo-ward,9.0,0.18802559043633676,133.69318550736915,1.8671631584189454,,0.013422920042648912,0.0014651518909191827,5,full,,,,,,,0.7470252958573241,0.4399265779208534,0.5824184169416674,0.589790096906615
agglo-ward,10.0,0.17699195188947411,128.1153290269524,1.8414562000976695,,0.014391019986942411,0.0010141545337915736,5,full,,,,,,,0.6407254046610851,0.39553707103413455,0.6114794715358087,0.5492473157436761
agglo-average,2.0,0.19912513454243855,190.52575991712013,1.8968162230693633,,0.012491780007258058,0.00026480269424845757,5,full,,,,,,,0.8539601320670863,0.8922096300231748,0.5488963907291697,0.7650220509398103
agglo-average,3.0,0.2090372901836501,192.76400427752895,1.7801659886032726,,0.012848399998620152,0.0005222601728990501,5,full,,,,,,,0.9494554722221776,0.9100219498272698,0.6807664778033296,0.8467479666175923
agglo-average,4.0,0.21260094302557658,157.13799469727576,1.7639385691939085,,0.012975519988685846,0.000560385090736226,5,full,,,,,,,0.9837882906980616,0.6265042574733778,0.6991111576944258,0.7698012352886217
